Id,Date,Vendor,Amount,Type,Category,Account,AppliedToBalance
2,2024-07-01,Starbucks,-5.25,Expense,Coffee,Unassigned,False
3,2024-07-01,Amazon,-50.0,Expense,Shopping,Unassigned,False
4,2024-07-02,Payroll,2500.0,Income,Income,Unassigned,False
5,2024-07-02,McDonald,-15.0,Expense,Fast food,Unassigned,False
6,2024-07-03,Rent,-1200.0,Expense,Housing,Unassigned,False
7,2024-07-03,Tims,-25.0,Expense,Coffee,Unassigned,False
8,2024-07-04,Grocery Store,-76.5,Expense,Groceries,Unassigned,False
9,2024-07-05,Amazon,-50.0,Expense,Shopping,Unassigned,False
10,2024-07-06,McDonalads,-10.99,Expense,Food,Unassigned,False
11,2024-07-07,Tea,-15.0,Expense,Food,Unassigned,False
12,2024-07-10,Food Basics,-120.0,Expense,Groceries,RBC,True
13,2025-07-15,EB Games,100.0,Income,Video games,Unassigned,False
14,2024-07-23,Pika,-100.0,Expense,Fast food,RBC,True
15,2024-07-01,Payroll,15000.0,Income,Income,CIBC,True
16,2024-07-22,Piko,-500.0,Expense,Fast Food,RBC,True
17,2025-05-26,Email Trfs,-680.0,Expense,Uncategorized,RBC,False
1,2025-06-05,PAYROLL DEPOSIT,7884.66,Income,Uncategorized,RBC,False
18,2025-06-05,INVESTMENT,-322.0,Expense,Uncategorized,RBC,False
19,2025-06-06,FEES/DUES,-29.01,Expense,Uncategorized,RBC,False
20,2025-06-09,MOBILE DEP- 0361,1971.77,Income,Uncategorized,RBC,False
21,2025-06-13,Transfer,-1424.79,Expense,Uncategorized,RBC,False
22,2025-06-16,MISC PAYMENT,-4957.13,Expense,Uncategorized,RBC,False
23,2025-06-19,INVESTMENT,-322.0,Expense,Uncategorized,RBC,False
24,2025-06-23,Withdrawal,-50.0,Expense,Uncategorized,RBC,False
25,2025-06-23,MONTHLY FEE,-4.0,Expense,Uncategorized,RBC,False
26,2025-06-23,MULTIPRODUCT REBATE,4.0,Income,Uncategorized,RBC,False
27,2025-06-24,INVESTMENT,101000.0,Income,Uncategorized,RBC,False
28,2025-06-25,INVESTMENT,-100500.0,Expense,Uncategorized,RBC,False
29,2025-07-03,INVESTMENT,-322.0,Expense,Uncategorized,RBC,False
30,2025-07-14,Transfer,-619.38,Expense,Uncategorized,RBC,False
31,2025-07-16,MISC PAYMENT,-3502.44,Expense,Uncategorized,RBC,False
32,2025-07-17,INVESTMENT,-322.0,Expense,Uncategorized,RBC,False
33,2025-07-22,Transfer,1000.0,Income,Uncategorized,RBC,False
34,2025-07-23,MONTHLY FEE,-4.0,Expense,Uncategorized,RBC,False
35,2025-07-23,MULTIPRODUCT REBATE,4.0,Income,Uncategorized,RBC,False
36,2025-07-31,INVESTMENT,-322.0,Expense,Uncategorized,RBC,False
37,2025-08-14,INVESTMENT,-322.0,Expense,Uncategorized,RBC,False
38,2025-08-14,Transfer,-754.42,Expense,Uncategorized,RBC,False
39,2025-08-18,MISC PAYMENT,-2535.41,Expense,Uncategorized,RBC,False
40,2025-08-22,MONTHLY FEE,-4.0,Expense,Uncategorized,RBC,False
41,2025-08-22,MULTIPRODUCT REBATE,4.0,Income,Uncategorized,RBC,False
42,2025-06-02,DEPOSIT INTEREST,0.68,Income,Uncategorized,RBC,False
43,2025-07-02,DEPOSIT INTEREST,0.66,Income,Uncategorized,RBC,False
44,2025-07-22,WWW TRF DDA - 0841,-1000.0,Expense,Uncategorized,RBC,False
45,2025-08-01,DEPOSIT INTEREST,0.48,Income,Uncategorized,RBC,False
46,2025-07-10,FARM BOY #29 TORONTO ON,-5.83,Expense,Uncategorized,RBC,False
47,2025-07-11,WFC 108 GUELPH GUELPH ON,-12.12,Expense,Uncategorized,RBC,False
48,2025-07-12,ZEHRS GUELPH CLAIR # 5 GUELPH ON,-56.5,Expense,Uncategorized,RBC,False
49,2025-07-13,DOLLAR TREE #40289 NIAGARA FALLSON,-10.74,Expense,Uncategorized,RBC,False
50,2025-07-13,PAYMENT - THANK YOU / PAIEMENT - MERCI,619.38,Income,Uncategorized,RBC,False
51,2025-07-13,VICTORIA PARK RIVERVIE NIAGARA FALLSON,-11.02,Expense,Uncategorized,RBC,False
52,2025-07-13,FALLS INCLINE NIAGARA FALLSON,-3.75,Expense,Uncategorized,RBC,False
53,2025-07-14,FALLS INCLINE NIAGARA FALLSON,-15.0,Expense,Uncategorized,RBC,False
54,2025-07-14,WILLIAMS FRESH CAFE #1 HAMILTON ON,-10.86,Expense,Uncategorized,RBC,False
55,2025-07-16,CENTURION COFFEE-GUELP GUELPH ON,-10.1,Expense,Uncategorized,RBC,False
